BS_Tilt,BS_Azimuth,BS_Height,Distance,UE_Azimuth,UE_Tilt,RS_CIN_DL,RSRP,UE_Clutter,LOS,First_Diffraction,Last_Diffraction,Indoor_Path,Outdoor_Path,Penetrations_BT1,Penetration_Distance_BT1,Percent_Propagation_Path_BT1,Penetrations_BT2,Penetration_Distance_BT2,Percent_Propagation_Path_BT2,Penetrations_Trees,Penetration_Distance_Trees,Percent_Propagation_Path_Trees,Penetrations_Bridge,Penetration_Distance_Bridge,Percent_Propagation_Path_Bridge,Total_Penetrations,Propagation_Path,Log_Propagation_Path,BS_X,BS_Y,BS_Z,UE_X,UE_Y,UE_Z,Manhattan_Distance,Pathloss,BS_Clutter
0,200,32,410.84,53.911,-6.4574,4.2239,-69.774,10,0,0,0,4.2055,405.83,0,0,0,1,4.2055,100,0,0,0,0,0,0,1,410.03,2.6128,5.9526e+05,5.6327e+06,94,5.9493e+05,5.6325e+06,68.5,574,108.75,1
0,200,32,365.31,50.777,-6.636,18.998,-72.836,27,0,0,0,13.153,351.49,0,0,0,2,13.153,100,0,0,0,0,0,0,2,364.64,2.5619,5.9526e+05,5.6327e+06,94,5.9498e+05,5.6325e+06,50.5,514,111.81,1
0,179,32,429,0.26711,-1.8024,1.1513,-81.836,27,0,403.43,0,9.0876,419.85,0,0,0,2,9.0876,100,0,0,0,0,0,0,2,428.93,2.6324,5.9507e+05,5.6329e+06,72,5.9507e+05,5.6325e+06,58.5,431,120.81,4
0,200,32,292.14,35.104,-6.5416,9.646,-76.149,7,0,118.09,0,97.273,194.55,0,0,0,4,97.273,100,0,0,0,0,0,0,4,291.82,2.4651,5.9526e+05,5.6327e+06,94,5.951e+05,5.6325e+06,90.5,407,115.13,1
0,200,32,288.21,37.387,-6.8261,5.2898,-75.899,7,0,117.55,0,73.812,214.05,0,0,0,3,73.812,100,0,0,0,0,0,0,3,287.87,2.4592,5.9526e+05,5.6327e+06,94,5.9509e+05,5.6325e+06,90.5,404,114.88,1
0,200,32,291.5,33.527,-6.5559,4.1568,-81.211,7,0,231.33,0,89.988,201.21,0,0,0,5,89.988,100,0,0,0,0,0,0,5,291.2,2.4642,5.9526e+05,5.6327e+06,94,5.951e+05,5.6325e+06,90.5,404,120.19,1
0,200,32,259.38,26.565,-6.4884,13.024,-81.211,7,0,176.21,0,106.13,153.07,0,0,0,1,106.13,100,0,0,0,0,0,0,1,259.19,2.4136,5.9526e+05,5.6327e+06,94,5.9515e+05,5.6325e+06,95.5,348,120.19,1
0,200,32,256.28,334.33,-4.7954,10.32,-68.274,27,0,32.016,0,11.959,244.17,0,0,0,1,11.959,100,0,0,0,0,0,0,1,256.12,2.4085,5.9526e+05,5.6327e+06,94,5.9537e+05,5.6325e+06,72.5,342,107.25,1
0,200,32,260,337.38,-4.7272,9.574,-68.836,27,0,10.746,0,2.9198,256.94,0,0,0,2,2.9198,100,0,0,0,0,0,0,2,259.86,2.4147,5.9526e+05,5.6327e+06,94,5.9536e+05,5.6325e+06,72.5,340,107.81,1
0,306,32,713.53,72.632,-4.8465,16.74,-92.524,5,0,0,0,49.678,661.98,0,0,0,4,49.678,100,0,0,0,0,0,0,4,711.66,2.8523,5.9526e+05,5.6327e+06,94,5.9458e+05,5.6325e+06,33.5,894,131.5,1
0,200,32,648.8,70.085,-5.2398,1.9836,-85.836,5,0,0,0,18.212,628.93,0,0,0,1,18.212,100,0,0,0,0,0,0,1,647.14,2.811,5.9526e+05,5.6327e+06,94,5.9465e+05,5.6325e+06,37.5,831,124.81,1
0,200,32,397.08,58.071,-6.8216,3.4215,-84.399,5,0,0,0,66.93,329.3,0,0,0,5,66.93,100,0,0,0,0,0,0,5,396.23,2.5979,5.9526e+05,5.6327e+06,94,5.9493e+05,5.6325e+06,45.5,547,123.38,1
0,200,32,333.97,49.25,-6.9145,16.51,-71.399,27,0,0,0,8.204,325.18,0,0,0,1,8.204,100,0,0,0,0,0,0,1,333.38,2.5229,5.9526e+05,5.6327e+06,94,5.9501e+05,5.6325e+06,53.5,471,110.38,1
0,200,32,225.86,16.991,-6.6919,5.8432,-80.086,7,0,191.33,0,20.004,205.76,0,0,0,1,20.004,100,0,0,0,0,0,0,1,225.76,2.3537,5.9526e+05,5.6327e+06,94,5.952e+05,5.6325e+06,117.5,282,119.06,1
0,179,32,500.4,37.122,-4.0579,15.498,-70.899,5,0,169.4,0,0,499.81,0,0,0,0,0,100,0,0,0,0,0,0,0,499.81,2.6988,5.9507e+05,5.6329e+06,72,5.9477e+05,5.6325e+06,37.5,701,109.88,4
0,200,32,314.4,53.276,-7.3402,17.803,-69.024,27,1,0,0,0,313.79,0,0,0,0,0,100,0,0,0,0,0,0,0,313.79,2.4966,5.9526e+05,5.6327e+06,94,5.9501e+05,5.6325e+06,53.5,440,108,1
0,179,32,398.63,5.1814,-2.3702,-0.24244,-78.086,27,0,294.34,0,67.489,331.06,0,0,0,5,67.489,100,0,0,0,0,0,0,5,398.55,2.6005,5.9507e+05,5.6329e+06,72,5.9504e+05,5.6325e+06,55.5,433,117.06,4
0,200,32,207.85,343.22,-5.9057,13.574,-63.649,10,0,10.389,0,0.94015,206.83,0,0,0,1,0.94015,100,0,0,0,0,0,0,1,207.77,2.3176,5.9526e+05,5.6327e+06,94,5.9532e+05,5.6325e+06,72.5,259,102.63,1
0,200,32,346.1,58.468,-7.3266,9.7968,-81.149,10,0,0,0,19.963,325.39,0,0,0,5,19.963,100,0,0,0,0,0,0,5,345.36,2.5383,5.9526e+05,5.6327e+06,94,5.9497e+05,5.6325e+06,55.5,476,120.13,1
0,200,32,255.29,314.21,-4.814,14.096,-79.461,12,0,40.851,0,32.576,222.33,0,0,0,2,32.576,96.486,0,0,3.5144,0,0,0,2,254.91,2.4064,5.9526e+05,5.6327e+06,94,5.9545e+05,5.6325e+06,72.5,361,118.44,1
0,306,32,714.66,78.376,-4.9185,7.3695,-78.586,5,0,0,0,7.5943,705.1,0,0,0,1,7.5943,100,0,0,0,0,0,0,1,712.69,2.8529,5.9526e+05,5.6327e+06,94,5.9456e+05,5.6326e+06,47.5,844,117.56,1
0,179,32,517.79,48.366,-4.2524,3.3356,-90.899,5,0,28.043,0,139.25,377.65,0,0,0,4,139.25,100,0,0,0,0,0,0,4,516.9,2.7134,5.9507e+05,5.6329e+06,72,5.9468e+05,5.6326e+06,33.5,731,129.88,4
0,179,32,450.64,37.607,-4.5043,7.8661,-80.399,5,0,74.555,0,7.3485,442.74,0,0,0,3,7.3485,100,0,0,0,0,0,0,3,450.09,2.6533,5.9507e+05,5.6329e+06,72,5.948e+05,5.6326e+06,36.5,632,119.38,4
0,200,32,429.84,70.427,-7.2261,1.824,-75.899,5,0,0,0,13.322,415.41,0,0,0,2,13.322,100,0,0,0,0,0,0,2,428.73,2.6322,5.9526e+05,5.6327e+06,94,5.9486e+05,5.6326e+06,51.5,549,114.88,1
0,179,32,383.3,23.689,-4.1037,6.3307,-79.086,5,0,142.02,0,95.764,287.29,0,0,0,7,95.764,100,0,0,0,0,0,0,7,383.06,2.5833,5.9507e+05,5.6329e+06,72,5.9492e+05,5.6326e+06,48.5,505,118.06,4
0,59,32,259.4,306.69,-4.738,10.52,-87.836,12,0,20.365,0,87.033,171.89,0,0,0,7,87.033,84.874,0,0,15.126,0,0,0,7,258.92,2.4132,5.9526e+05,5.6327e+06,94,5.9547e+05,5.6326e+06,72.5,363,126.81,1
0,179,32,576.83,54.739,-3.9174,8.6039,-91.836,5,0,29.201,0,118.05,457.63,0,0,0,5,118.05,100,0,0,0,0,0,0,5,575.68,2.7602,5.9507e+05,5.6329e+06,72,5.946e+05,5.6326e+06,32.5,804,130.81,4
